Date,Version,Mode,Side,Season ID,Boss,Boss Icon,Member 1,Member 1 Icon,Member 2,Member 2 Icon,Member 3,Member 3 Icon,Member 4,Member 4 Icon,Score
11/05/2025,3.6,Anomaly Arbitration: King,,1,"First Genius, Entelechy, Zandar",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4044010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,DHPT,https://stardb.gg/api/static/StarRailResWebp/icon/character/1414.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,5
10/27/2025,3.6,Memory of Chaos 12,Node 1,1027,Flame Reaver of the Deepest Dark,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4034010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,DHPT,https://stardb.gg/api/static/StarRailResWebp/icon/character/1414.webp,3
10/27/2025,3.6,Memory of Chaos 12,Node 2,1027,Ichor Memosprite: Judge of Oblivion,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4064010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,6
10/13/2025,3.6,Pure Fiction 4,Node 1,2018,Argenti,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_3024010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1013.webp,37560
10/13/2025,3.6,Pure Fiction 4,Node 2,2018,"Savage God, Mad King, Incarnation of Strife",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4014010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,DHPT,https://stardb.gg/api/static/StarRailResWebp/icon/character/1414.webp,40000
09/29/2025,3.6,Apocalyptic Shadow 4,Node 1,3012,Annihilator of Desolation Mistral,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,3527
09/29/2025,3.6,Apocalyptic Shadow 4,Node 2,3012,Guide of Withering and Decay,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4014030.webp,Saber,https://stardb.gg/api/static/StarRailResWebp/icon/character/1014.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,3340
09/15/2025,3.5,Memory of Chaos 12,Node 1,1026,Gepard,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004020.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,1
09/15/2025,3.5,Memory of Chaos 12,Node 2,1026,"First Genius, Entelechy, Zandar",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4044010.webp,Saber,https://stardb.gg/api/static/StarRailResWebp/icon/character/1014.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,2
09/01/2025,3.5,Pure Fiction 4,Node 1,2017,Bronya,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004030.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,29720
